,SPY,Mkt-RF,SMB,HML,RF
2007-07-24,,-0.0204,-0.0049,-0.0029,0.00018999999999999998
2007-07-25,0.002046972821141068,0.003,-0.0045000000000000005,0.0012,0.00018999999999999998
2007-07-26,-0.0239638383551732,-0.0236,-0.0002,-0.0017000000000000001,0.00018999999999999998
2007-07-27,-0.019855579667073776,-0.0151,-0.0006,0.0013,0.00018999999999999998
2007-07-30,0.01552192129861205,0.009300000000000001,-0.0023,-0.0007000000000000001,0.00018999999999999998
2007-07-31,-0.01132673407716824,-0.011899999999999999,0.0034999999999999996,-0.0013,0.00018999999999999998
2007-08-01,0.004860261004831092,0.0051,-0.0051,-0.0026,0.00018
2007-08-02,0.007958376743765969,0.0055000000000000005,0.0015,-0.003,0.00018
2007-08-03,-0.02608209002253348,-0.026600000000000002,-0.0063,-0.0075,0.00018
2007-08-06,0.016620223689219116,0.0207,-0.0116,-0.0039000000000000003,0.00018
2007-08-07,0.010612971397355257,0.006500000000000001,0.0028000000000000004,-0.0066,0.00018
2007-08-08,0.013844863706440851,0.0147,0.012,-0.0076,0.00018
2007-08-09,-0.030081693745206924,-0.0274,0.0165,-0.005600000000000001,0.00018
2007-08-10,-0.0046882099514670445,0.0003,0.0,0.0138,0.00018
2007-08-13,0.00358659731964857,-0.0006,-0.0113,0.0028000000000000004,0.00018
2007-08-14,-0.015403982107889118,-0.0183,-0.0006,-0.0016,0.00018
2007-08-15,-0.01387087391534638,-0.0146,0.0002,0.0,0.00018
2007-08-16,0.007487561565717167,0.0031,0.011399999999999999,0.0132,0.00018
2007-08-17,0.018200697137869648,0.0236,-0.0043,0.0042,0.00018
2007-08-20,-0.00048399273136394736,0.0,0.0019,-0.0034999999999999996,0.00018
2007-08-21,0.002003054792986617,0.0015,-0.0003,-0.0002,0.00018
2007-08-22,0.011797934135239307,0.012,0.0006,-0.0006,0.00018
2007-08-23,-0.0008866323306548246,-0.0023,-0.01,0.0021,0.00018
2007-08-24,0.012277338716258551,0.0121,0.0013,-0.0026,0.00018
2007-08-27,-0.009347122230091267,-0.0085,-0.0011,-0.0017000000000000001,0.00018
2007-08-28,-0.02222569008277165,-0.0233,-0.0008,-0.0039000000000000003,0.00018
2007-08-29,0.01943163443169334,0.0213,0.0012,0.0003,0.00018
2007-08-30,-0.0026647413675729833,-0.0043,0.0,-0.0046,0.00018
2007-08-31,0.009804630479673953,0.011200000000000002,0.0005,-0.0004,0.00018
2007-09-04,0.010044539851964148,0.0103,-0.0021,0.0003,0.00017
2007-09-05,-0.008690564626482615,-0.0105,0.0001,-0.0031,0.00017
